============================================================
Downloading Complete Jastrow Dictionary from Sefaria
Using sequential traversal via "next" links
============================================================

Starting from: Jastrow, א
[19.7%] #5904: "Jastrow, דַּפְנָא"... duplicate
[19.7%] #5904: "Jastrow, דפנא"... duplicate
[19.7%] #5904: "Jastrow, דְּפַנּוֹת"... OK (דפנות)
[19.7%] #5905: "Jastrow, דָּפְנֵי"... OK (דפני)
[19.7%] #5906: "Jastrow, דָּפַק"... OK (דפק)
[19.7%] #5907: "Jastrow, דְּפַק"... duplicate
[19.7%] #5907: "Jastrow, דִּפְרָא"... OK (דפרא)
[19.7%] #5908: "Jastrow, דִפְשְׁקָא"... OK (דפשקא)
[19.7%] #5909: "Jastrow, דִּפְתִּי"... OK (דפתי)
[19.7%] #5910: "Jastrow, דָּץ"... OK (דץ)
[19.7%] #5911: "Jastrow, דצדק"... OK (דצדק)
[19.7%] #5912: "Jastrow, דָּצוֹצָא"... OK (דצוצא)
[19.7%] #5913: "Jastrow, דְּצֵי"... OK (דצי)
[19.7%] #5914: "Jastrow, *דָּצְיָא"... OK (דציא)
[19.7%] #5915: "Jastrow, *דְּצִיצָא"... OK (דציצא)
[19.7%] #5916: "Jastrow, דצ"ך"... OK (דצך)
[19.7%] #5917: "Jastrow, דַּק I"... OK (דק)
[19.7%] #5918: "Jastrow, דַּק"... duplicate
[19.7%] #5918: "Jastrow, דַּק II"... duplicate
[19.7%] #5918: "Jastrow, דִּקְדּוּק"... OK (דקדוק)
[19.7%] #5919: "Jastrow, דִּקְדּוּקָא"... OK (דקדוקא)
[19.7%] #5920: "Jastrow, דִּקְדֵּק"... OK (דקדק)
[19.7%] #5921: "Jastrow, דַּקְדֵּק"... duplicate
[19.7%] #5921: "Jastrow, דַּקְדָּקָא"... OK (דקדקא)
[19.7%] #5922: "Jastrow, דַּקְדְּקִירָא"... OK (דקדקירא)
[19.7%] #5923: "Jastrow, דַּקְדַּקְתָּא"... OK (דקדקתא)
[19.7%] #5924: "Jastrow, דַּקָּה"... OK (דקה)
[19.7%] #5925: "Jastrow, דָּקָה"... duplicate
[19.7%] #5925: "Jastrow, דִּקוּלָא"... OK (דקולא)
[19.8%] #5926: "Jastrow, דקונתיה"... OK (דקונתיה)
[19.8%] #5927: "Jastrow, דּקוּקָא"... OK (דקוקא)
[19.8%] #5928: "Jastrow, דקוקיא"... OK (דקוקיא)
[19.8%] #5929: "Jastrow, דָּקוֹר"... OK (דקור)
[19.8%] #5930: "Jastrow, דְּקוּרָא"... OK (דקורא)
[19.8%] #5931: "Jastrow, דקוריא"... OK (דקוריא)
[19.8%] #5932: "Jastrow, דִּקְיוֹן"... OK (דקיון)
[19.8%] #5933: "Jastrow, דַּקִּיק"... OK (דקיק)
[19.8%] #5934: "Jastrow, דַּקִּירָא"... OK (דקירא)
[19.8%] #5935: "Jastrow, דְּקִירָה"... OK (דקירה)
[19.8%] #5936: "Jastrow, דַּקִּיתָא"... OK (דקיתא)
[19.8%] #5937: "Jastrow, דְּקִיתָא"... duplicate
[19.8%] #5937: "Jastrow, דֶּקֶל"... OK (דקל)
[19.8%] #5938: "Jastrow, דִּקְלָא"... OK (דקלא)
  [Saved progress: 5938 entries]
[19.8%] #5939: "Jastrow, דִּקְלַי"... OK (דקלי)
[19.8%] #5940: "Jastrow, דְּקַן"... OK (דקן)
[19.8%] #5941: "Jastrow, דִּקְנָנָא"... OK (דקננא)
[19.8%] #5942: "Jastrow, דָּקַק"... OK (דקק)
[19.8%] #5943: "Jastrow, דְּקַק"... duplicate
[19.8%] #5943: "Jastrow, דְּקָקָה"... OK (דקקה)
[19.8%] #5944: "Jastrow, דָּקַר"... OK (דקר)
[19.8%] #5945: "Jastrow, דְּקַר"... duplicate
[19.8%] #5945: "Jastrow, דֶּקֶר"... duplicate
[19.8%] #5945: "Jastrow, דַּקְרוֹנָא"... OK (דקרונא)
[19.8%] #5946: "Jastrow, דַּקְרָן"... OK (דקרן)
[19.8%] #5947: "Jastrow, דַּקְתָּא"... OK (דקתא)
[19.8%] #5948: "Jastrow, דֹּר"... OK (דר)
[19.8%] #5949: "Jastrow, דָּר"... duplicate
[19.8%] #5949: "Jastrow, דָּר ²"... duplicate
[19.8%] #5949: "Jastrow, דָּר ³"... duplicate
[19.8%] #5949: "Jastrow, דָּרָא II"... OK (דרא)
[19.8%] #5950: "Jastrow, דְּרָא"... duplicate
[19.8%] #5950: "Jastrow, דרא"... duplicate
[19.8%] #5950: "Jastrow, דרבאני"... OK (דרבאני)
[19.8%] #5951: "Jastrow, דרבון"... OK (דרבון)
[19.8%] #5952: "Jastrow, דָּרְבּוֹנֵי"... OK (דרבוני)
[19.8%] #5953: "Jastrow, דָּֽרְבָן"... OK (דרבן)
[19.8%] #5954: "Jastrow, *דָּרְבְּנָאָה"... OK (דרבנאה)
[19.8%] #5955: "Jastrow, דָּרַג"... OK (דרג)
[19.9%] #5956: "Jastrow, דְּרַג"... duplicate
[19.9%] #5956: "Jastrow, דַּרְגּוֹן"... OK (דרגון)
[19.9%] #5957: "Jastrow, דַּרְגּוּשָׁה"... OK (דרגושה)
[19.9%] #5958: "Jastrow, דרגי"... OK (דרגי)
[19.9%] #5959: "Jastrow, דַּרְגִּישִׁין"... OK (דרגישין)
[19.9%] #5960: "Jastrow, דַּרְגֵּשׁ"... OK (דרגש)
[19.9%] #5961: "Jastrow, דַּרְגְּשָׁא"... OK (דרגשא)
[19.9%] #5962: "Jastrow, דרד"... OK (דרד)
[19.9%] #5963: "Jastrow, דַּרְדּוּגֵי"... OK (דרדוגי)
[19.9%] #5964: "Jastrow, דַּרְדּוּר"... OK (דרדור)
[19.9%] #5965: "Jastrow, דַּרְדֵּיג"... OK (דרדיג)
[19.9%] #5966: "Jastrow, דַּרְדַּנְיָא"... OK (דרדניא)
[19.9%] #5967: "Jastrow, דַּרְדְּסָא"... OK (דרדסא)
[19.9%] #5968: "Jastrow, דַּרְדַּק"... OK (דרדק)
[19.9%] #5969: "Jastrow, דִּרְדֵּר"... OK (דרדר)
[19.9%] #5970: "Jastrow, דַּרְדֵּר"... duplicate
[19.9%] #5970: "Jastrow, דַּרְדָּרָא"... OK (דרדרא)
[19.9%] #5971: "Jastrow, דָּרוֹכוֹת"... OK (דרוכות)
[19.9%] #5972: "Jastrow, דרולמוסיא"... OK (דרולמוסיא)
[19.9%] #5973: "Jastrow, דָּרוֹם"... OK (דרום)
[19.9%] #5974: "Jastrow, דָּרוֹמָא"... OK (דרומא)
[19.9%] #5975: "Jastrow, דְּרוֹמָאָה"... OK (דרומאה)
[19.9%] #5976: "Jastrow, *דְּרוֹמוֹס"... OK (דרומוס)
[19.9%] #5977: "Jastrow, דרומוסקוס"... OK (דרומוסקוס)
[19.9%] #5978: "Jastrow, דְּרוֹמִי"... OK (דרומי)
[19.9%] #5979: "Jastrow, דְּרוֹמָיָא"... OK (דרומיא)
[19.9%] #5980: "Jastrow, דרומילוס"... OK (דרומילוס)
[19.9%] #5981: "Jastrow, דרומיסקוס"... OK (דרומיסקוס)
[19.9%] #5982: "Jastrow, דרומנה"... OK (דרומנה)
[19.9%] #5983: "Jastrow, *דָּרוּמָתָא"... OK (דרומתא)
[19.9%] #5984: "Jastrow, דְּרוֹסָא"... OK (דרוסא)
[19.9%] #5985: "Jastrow, דָּרוֹסָה"... OK (דרוסה)
[20.0%] #5986: "Jastrow, דְּרוּסָה"... duplicate
[20.0%] #5986: "Jastrow, דְּרוּסוֹת"... OK (דרוסות)
[20.0%] #5987: "Jastrow, דְּרוֹעָא"... OK (דרועא)
[20.0%] #5988: "Jastrow, *דָּרוּפִתְקֵי"... OK (דרופתקי)
[20.0%] #5989: "Jastrow, *דְּרוּקָא"... OK (דרוקא)
[20.0%] #5990: "Jastrow, דרוקרא"... OK (דרוקרא)
[20.0%] #5991: "Jastrow, דְּרוּקֶרֶת"... OK (דרוקרת)
[20.0%] #5992: "Jastrow, דְּרוֹר"... OK (דרור)
[20.0%] #5993: "Jastrow, דְּרוֹרִיָּה"... OK (דרוריה)
[20.0%] #5994: "Jastrow, דָּרוֹשָׁא"... OK (דרושא)
[20.0%] #5995: "Jastrow, דְּרֵי I"... OK (דרי)
[20.0%] #5996: "Jastrow, דְּרֵי II"... duplicate
[20.0%] #5996: "Jastrow, דָּרֵי"... duplicate
[20.0%] #5996: "Jastrow, דריא"... OK (דריא)
[20.0%] #5997: "Jastrow, דריאבון"... OK (דריאבון)
[20.0%] #5998: "Jastrow, דריגון"... OK (דריגון)
[20.0%] #5999: "Jastrow, דָּרְיָוֶשׁ"... OK (דריוש)
[20.0%] #6000: "Jastrow, דְּרֵיךְ"... OK (דריך)
[20.0%] #6001: "Jastrow, דְּרִיכָה"... OK (דריכה)
[20.0%] #6002: "Jastrow, דָּרִיכוֹן"... OK (דריכון)
[20.0%] #6003: "Jastrow, דריכות"... OK (דריכות)
[20.0%] #6004: "Jastrow, *דְּרִינוֹן"... OK (דרינון)
[20.0%] #6005: "Jastrow, דְּרִיס"... OK (דריס)
[20.0%] #6006: "Jastrow, דְּרִיסָה"... OK (דריסה)
[20.0%] #6007: "Jastrow, דָּרֵישׁ"... OK (דריש)
[20.0%] #6008: "Jastrow, דְּרִישָׁה"... OK (דרישה)
[20.0%] #6009: "Jastrow, דָּרַךְ"... OK (דרך)
[20.0%] #6010: "Jastrow, דְּרַךְ"... duplicate
[20.0%] #6010: "Jastrow, דֶּרֶךְ"... duplicate
[20.0%] #6010: "Jastrow, דַּרְכָא"... OK (דרכא)
[20.0%] #6011: "Jastrow, דָּרְכָא"... duplicate
[20.0%] #6011: "Jastrow, דרכון"... OK (דרכון)
[20.0%] #6012: "Jastrow, דַּרְכּוֹן"... duplicate
[20.0%] #6012: "Jastrow, דרכל"... OK (דרכל)
[20.0%] #6013: "Jastrow, דַּרְכְּמוֹן"... OK (דרכמון)
[20.0%] #6014: "Jastrow, דרכמונין"... OK (דרכמונין)
[20.0%] #6015: "Jastrow, דָּרַם"... OK (דרם)
[20.1%] #6016: "Jastrow, דְּרַם"... duplicate
[20.1%] #6016: "Jastrow, דַּרְמוּסְקוֹס"... OK (דרמוסקוס)
[20.1%] #6017: "Jastrow, דרמינון"... OK (דרמינון)
[20.1%] #6018: "Jastrow, דַּרְמֵסְקוֹס"... OK (דרמסקוס)
[20.1%] #6019: "Jastrow, דַּרְמַסְקִינָא"... OK (דרמסקינא)
[20.1%] #6020: "Jastrow, דֶּרֶן"... OK (דרן)
  [Saved progress: 6020 entries]
[20.1%] #6021: "Jastrow, דַּרְנָא"... OK (דרנא)
[20.1%] #6022: "Jastrow, דרניקוס"... OK (דרניקוס)
[20.1%] #6023: "Jastrow, דָּרַס"... OK (דרס)
[20.1%] #6024: "Jastrow, דְּרַס"... duplicate
[20.1%] #6024: "Jastrow, דְּרָסָה"... OK (דרסה)
[20.1%] #6025: "Jastrow, דְּרַע I"... OK (דרע)
[20.1%] #6026: "Jastrow, דְּרַע II"... duplicate
[20.1%] #6026: "Jastrow, דְּרַע III"... duplicate
[20.1%] #6026: "Jastrow, דרפתקי"... OK (דרפתקי)
[20.1%] #6027: "Jastrow, דרצונא"... OK (דרצונא)
[20.1%] #6028: "Jastrow, דַּרְצִינִי"... OK (דרציני)
[20.1%] #6029: "Jastrow, דְּרַק"... OK (דרק)
[20.1%] #6030: "Jastrow, דְּרָקוֹן"... OK (דרקון)
[20.1%] #6031: "Jastrow, דְּרָקוֹן ²"... duplicate
[20.1%] #6031: "Jastrow, דרקונוס"... OK (דרקונוס)
[20.1%] #6032: "Jastrow, דְּרָרָא I"... OK (דררא)
[20.1%] #6033: "Jastrow, דְּרָרָא II"... duplicate
[20.1%] #6033: "Jastrow, דְּרַרְיָא"... OK (דרריא)
[20.1%] #6034: "Jastrow, דָּרַשׁ"... OK (דרש)
[20.1%] #6035: "Jastrow, דְּרַשׁ"... duplicate
[20.1%] #6035: "Jastrow, דָּרְשָׁא"... OK (דרשא)
[20.1%] #6036: "Jastrow, דְּרָשָׁא"... duplicate
[20.1%] #6036: "Jastrow, דַּרְשָׁן"... OK (דרשן)
[20.1%] #6037: "Jastrow, דַּרְתָּא"... OK (דרתא)
[20.1%] #6038: "Jastrow, דרתא"... duplicate
[20.1%] #6038: "Jastrow, דרתנא"... OK (דרתנא)
[20.1%] #6039: "Jastrow, דָּשׁ"... OK (דש)
[20.1%] #6040: "Jastrow, דֶּשֶׁא"... OK (דשא)
[20.1%] #6041: "Jastrow, דַּשָּׁא"... duplicate
[20.1%] #6041: "Jastrow, דַּשְׁדֵּשׁ"... OK (דשדש)
[20.1%] #6042: "Jastrow, דִּשּׁוּן"... OK (דשון)
[20.1%] #6043: "Jastrow, דשונא"... OK (דשונא)
[20.1%] #6044: "Jastrow, דשונה"... OK (דשונה)
[20.1%] #6045: "Jastrow, דָּשֹׁושׁ"... OK (דשוש)
[20.2%] #6046: "Jastrow, דְּשִׁישׁ"... OK (דשיש)
[20.2%] #6047: "Jastrow, דַּשְׁיָתָא"... OK (דשיתא)
[20.2%] #6048: "Jastrow, דָּשֵׁן"... OK (דשן)
[20.2%] #6049: "Jastrow, דֶּשֶׁן"... duplicate
[20.2%] #6049: "Jastrow, דָּשְׁנָא"... OK (דשנא)
[20.2%] #6050: "Jastrow, *דשקתא"... OK (דשקתא)
[20.2%] #6051: "Jastrow, דשרין"... OK (דשרין)
[20.2%] #6052: "Jastrow, דָּשַׁשׁ"... OK (דשש)
[20.2%] #6053: "Jastrow, דְּשַׁשׁ"... duplicate
[20.2%] #6053: "Jastrow, דִּשְׁתָּאָה"... OK (דשתאה)
[20.2%] #6054: "Jastrow, *דִּשְׁתַּיְיהִי"... OK (דשתייהי)
[20.2%] #6055: "Jastrow, דשתן"... OK (דשתן)
[20.2%] #6056: "Jastrow, דִּשְׁתָּנָא"... OK (דשתנא)
[20.2%] #6057: "Jastrow, דִּשְׁתְּקָא"... OK (דשתקא)
[20.2%] #6058: "Jastrow, דַּתְּ"... OK (דת)
[20.2%] #6059: "Jastrow, דָּת"... duplicate
[20.2%] #6059: "Jastrow, דָּת ²"... duplicate
[20.2%] #6059: "Jastrow, דִּתְאָה"... OK (דתאה)
[20.2%] #6060: "Jastrow, דְּתָבְרַיָּא"... OK (דתבריא)
[20.2%] #6061: "Jastrow, ה"... OK (ה)
[20.2%] #6062: "Jastrow, ה׳"... duplicate
[20.2%] #6062: "Jastrow, הַ־"... duplicate
[20.2%] #6062: "Jastrow, הָ־"... duplicate
[20.2%] #6062: "Jastrow, ה"א"... OK (הא)
[20.2%] #6063: "Jastrow, הָא I"... duplicate
[20.2%] #6063: "Jastrow, הָא II"... duplicate
[20.2%] #6063: "Jastrow, הֵא II"... duplicate
[20.2%] #6063: "Jastrow, הִא III"... duplicate
[20.2%] #6063: "Jastrow, הַאֲזָנָה"... OK (האזנה)
[20.2%] #6064: "Jastrow, הַאי"... OK (האי)
[20.2%] #6065: "Jastrow, הָאִידְּנָא"... OK (האידנא)
[20.2%] #6066: "Jastrow, הַאִיךְ"... OK (האיך)
[20.2%] #6067: "Jastrow, הָאֵיק"... OK (האיק)
[20.2%] #6068: "Jastrow, הַאיְתָא"... OK (האיתא)
[20.2%] #6069: "Jastrow, הָאִיתָא"... duplicate
[20.2%] #6069: "Jastrow, הָאֵל"... OK (האל)
[20.2%] #6070: "Jastrow, הַאֲמָנָה"... OK (האמנה)
[20.2%] #6071: "Jastrow, הָאן"... OK (האן)
[20.2%] #6072: "Jastrow, הָאנָא"... OK (האנא)
[20.2%] #6073: "Jastrow, *הָאַסְטוּ"... OK (האסטו)
[20.2%] #6074: "Jastrow, הָאֵק"... OK (האק)
[20.2%] #6075: "Jastrow, הֲאָרָה"... OK (הארה)
[20.3%] #6076: "Jastrow, הַב"... OK (הב)
[20.3%] #6077: "Jastrow, הֲבָאָה"... OK (הבאה)
[20.3%] #6078: "Jastrow, הֲבַאי"... OK (הבאי)
[20.3%] #6079: "Jastrow, הַבְאָשָׁה"... OK (הבאשה)
[20.3%] #6080: "Jastrow, הָבַב"... OK (הבב)
[20.3%] #6081: "Jastrow, הַבְדָּלָה"... OK (הבדלה)
[20.3%] #6082: "Jastrow, הִבְהֵב I"... OK (הבהב)
[20.3%] #6083: "Jastrow, הַבְהֵב"... duplicate
[20.3%] #6083: "Jastrow, הַבְהֲבָא"... OK (הבהבא)
[20.3%] #6084: "Jastrow, הָבוּ"... OK (הבו)
[20.3%] #6085: "Jastrow, הַבָּטָה"... OK (הבטה)
[20.3%] #6086: "Jastrow, הבטח"... OK (הבטח)
[20.3%] #6087: "Jastrow, הַבְטָחָה"... OK (הבטחה)
[20.3%] #6088: "Jastrow, הֲבִיל"... OK (הביל)
[20.3%] #6089: "Jastrow, הֲבִיר"... OK (הביר)
[20.3%] #6090: "Jastrow, הֲבִירָא"... OK (הבירא)
[20.3%] #6091: "Jastrow, הַבְכֵין"... OK (הבכין)
[20.3%] #6092: "Jastrow, הָבַל"... OK (הבל)
[20.3%] #6093: "Jastrow, הֲבַל"... duplicate
[20.3%] #6093: "Jastrow, הֶבֶל"... duplicate
[20.3%] #6093: "Jastrow, הַבְלָא"... OK (הבלא)
[20.3%] #6094: "Jastrow, הֲבָלוּ"... OK (הבלו)
[20.3%] #6095: "Jastrow, הַבְלִילָא"... OK (הבלילא)
[20.3%] #6096: "Jastrow, הַבְלָעָה"... OK (הבלעה)
  [Saved progress: 6096 entries]
[20.3%] #6097: "Jastrow, הֶבְעֵר"... OK (הבער)
[20.3%] #6098: "Jastrow, הַבְעָרָה"... OK (הבערה)
[20.3%] #6099: "Jastrow, הֶבְקֵר"... OK (הבקר)
[20.3%] #6100: "Jastrow, הַבְרָא"... OK (הברא)
[20.3%] #6101: "Jastrow, הַבְרָאָה"... OK (הבראה)
[20.3%] #6102: "Jastrow, הַבְרָה"... OK (הברה)
[20.3%] #6103: "Jastrow, הֲבָרָה"... duplicate
[20.3%] #6103: "Jastrow, הֲגָא"... OK (הגא)
[20.3%] #6104: "Jastrow, הֶגֶא"... duplicate
[20.3%] #6104: "Jastrow, הַגְבָּהָה"... OK (הגבהה)
[20.3%] #6105: "Jastrow, הַגְבָּלָה"... OK (הגבלה)
[20.3%] #6106: "Jastrow, הַגָּדָה"... OK (הגדה)
[20.4%] #6107: "Jastrow, הגדום"... OK (הגדום)
[20.4%] #6108: "Jastrow, הֶגְדֵּר"... OK (הגדר)
[20.4%] #6109: "Jastrow, הָגָה"... OK (הגה)
[20.4%] #6110: "Jastrow, הֶגֶה"... duplicate
[20.4%] #6110: "Jastrow, הֵגֶה"... duplicate
[20.4%] #6110: "Jastrow, הִגְזִין"... OK (הגזין)
[20.4%] #6111: "Jastrow, הֶגְזֵר"... OK (הגזר)
[20.4%] #6112: "Jastrow, הגי"... OK (הגי)
[20.4%] #6113: "Jastrow, הגי ²"... duplicate
[20.4%] #6113: "Jastrow, הֲגִי"... duplicate
[20.4%] #6113: "Jastrow, הִגָּיוֹן"... OK (הגיון)
[20.4%] #6114: "Jastrow, הֶגְיוֹנָא"... OK (הגיונא)
[20.4%] #6115: "Jastrow, הֲגָיָיה"... OK (הגייה)
[20.4%] #6116: "Jastrow, הֵגִים"... OK (הגים)
[20.4%] #6117: "Jastrow, הַגְלָשָׁה"... OK (הגלשה)
[20.4%] #6118: "Jastrow, הֶגְמוֹן"... OK (הגמון)
[20.4%] #6119: "Jastrow, הֶגְמוֹנְיָא"... OK (הגמוניא)
[20.4%] #6120: "Jastrow, הָגַן"... OK (הגן)
[20.4%] #6121: "Jastrow, הֲגַן"... duplicate
[20.4%] #6121: "Jastrow, הַגַּס"... OK (הגס)
[20.4%] #6122: "Jastrow, הַגָּעָה"... OK (הגעה)
[20.4%] #6123: "Jastrow, הַגְעָלָה"... OK (הגעלה)
[20.4%] #6124: "Jastrow, הֲגָפָה"... OK (הגפה)
[20.4%] #6125: "Jastrow, הָגַר"... OK (הגר)
[20.4%] #6126: "Jastrow, הָגָר"... duplicate
[20.4%] #6126: "Jastrow, הַגְרָאָה"... OK (הגראה)
[20.4%] #6127: "Jastrow, הַגְרָה"... OK (הגרה)
[20.4%] #6128: "Jastrow, הגרול"... OK (הגרול)
[20.4%] #6129: "Jastrow, הגרום"... OK (הגרום)
[20.4%] #6130: "Jastrow, הַגְרוֹנְיָא"... OK (הגרוניא)
[20.4%] #6131: "Jastrow, הֶגְרֵיל"... OK (הגריל)
[20.4%] #6132: "Jastrow, הַגְרָלָה"... OK (הגרלה)
[20.4%] #6133: "Jastrow, הֶגְרֵם"... OK (הגרם)
[20.4%] #6134: "Jastrow, הַגְרָמָה"... OK (הגרמה)
[20.4%] #6135: "Jastrow, הַגָּשָׁה"... OK (הגשה)
[20.4%] #6136: "Jastrow, הֵגְתָא"... OK (הגתא)
[20.5%] #6137: "Jastrow, הַד־"... OK (הד)
[20.5%] #6138: "Jastrow, הָדָא"... OK (הדא)
[20.5%] #6139: "Jastrow, הֲדָדֵי"... OK (הדדי)
[20.5%] #6140: "Jastrow, הָדָה I"... OK (הדה)
[20.5%] #6141: "Jastrow, הָדָה II"... duplicate
[20.5%] #6141: "Jastrow, הדויין"... OK (הדויין)
[20.5%] #6142: "Jastrow, הֲדוֹם"... OK (הדום)
[20.5%] #6143: "Jastrow, *הדוסטא"... OK (הדוסטא)
[20.5%] #6144: "Jastrow, הִדּוּק"... OK (הדוק)
[20.5%] #6145: "Jastrow, הָדוּר"... OK (הדור)
[20.5%] #6146: "Jastrow, הֲדוֹר"... duplicate
[20.5%] #6146: "Jastrow, הִדּוּר"... duplicate
[20.5%] #6146: "Jastrow, הִדוֹר"... duplicate
[20.5%] #6146: "Jastrow, הֲדוּרָא"... OK (הדורא)
[20.5%] #6147: "Jastrow, הֲדוֹרָה"... OK (הדורה)
[20.5%] #6148: "Jastrow, הדות"... OK (הדות)
[20.5%] #6149: "Jastrow, הֲדָחָה"... OK (הדחה)
[20.5%] #6150: "Jastrow, הֲדֵי"... OK (הדי)
[20.5%] #6151: "Jastrow, הֶדְיָא"... OK (הדיא)
[20.5%] #6152: "Jastrow, הֲדָיָא II"... duplicate
[20.5%] #6152: "Jastrow, הַדְיֵב"... OK (הדיב)
[20.5%] #6153: "Jastrow, הֲדָיָה"... OK (הדיה)
[20.5%] #6154: "Jastrow, הֶדְיוֹט"... OK (הדיוט)
[20.5%] #6155: "Jastrow, הדיוכין"... OK (הדיוכין)
[20.5%] #6156: "Jastrow, הַדְיֵיב"... OK (הדייב)
[20.5%] #6157: "Jastrow, הַדְיֵיבָא"... OK (הדייבא)
[20.5%] #6158: "Jastrow, הֲדָיָיה"... OK (הדייה)
[20.5%] #6159: "Jastrow, הדיין"... OK (הדיין)
[20.5%] #6160: "Jastrow, הַדְיֵיף"... OK (הדייף)
[20.5%] #6161: "Jastrow, הַדִּימָא"... OK (הדימא)
[20.5%] #6162: "Jastrow, הדימה"... OK (הדימה)
[20.5%] #6163: "Jastrow, הָדֵין"... OK (הדין)
[20.5%] #6164: "Jastrow, הַדְיֵף"... OK (הדיף)
[20.5%] #6165: "Jastrow, הָדֵךְ"... OK (הדך)
[20.5%] #6166: "Jastrow, הַדְלֵיקָא"... OK (הדליקא)
[20.6%] #6167: "Jastrow, הַדְלָקָה"... OK (הדלקה)
[20.6%] #6168: "Jastrow, הֲדַם"... OK (הדם)
[20.6%] #6169: "Jastrow, הַדָּם"... duplicate
[20.6%] #6169: "Jastrow, הָדֵן"... OK (הדן)
[20.6%] #6170: "Jastrow, הַדְנָא"... OK (הדנא)
[20.6%] #6171: "Jastrow, הָדַס"... OK (הדס)
[20.6%] #6172: "Jastrow, *הַדֵּס"... duplicate
[20.6%] #6172: "Jastrow, הַדָס"... duplicate
[20.6%] #6172: "Jastrow, הָדָס"... duplicate
[20.6%] #6172: "Jastrow, הֲדָס"... duplicate
[20.6%] #6172: "Jastrow, הֲדַסָּה"... OK (הדסה)
[20.6%] #6173: "Jastrow, הדסט"ב"... OK (הדסטב)
[20.6%] #6174: "Jastrow, הָדַף"... OK (הדף)
[20.6%] #6175: "Jastrow, הֲדַף"... duplicate
[20.6%] #6175: "Jastrow, הֵדַק"... OK (הדק)
[20.6%] #6176: "Jastrow, הָדַק"... duplicate
[20.6%] #6176: "Jastrow, הֲדַק"... duplicate
  [Saved progress: 6175 entries]
[20.6%] #6176: "Jastrow, הָדַר"... OK (הדר)
[20.6%] #6177: "Jastrow, הֲדַר"... duplicate
[20.6%] #6177: "Jastrow, הָדָר"... duplicate
[20.6%] #6177: "Jastrow, הֲדָרָא"... OK (הדרא)
[20.6%] #6178: "Jastrow, הַדְרָאָה"... OK (הדראה)
[20.6%] #6179: "Jastrow, הִדְרַאוְלִיס"... OK (הדראוליס)
[20.6%] #6180: "Jastrow, הֲדָרָה"... OK (הדרה)
[20.6%] #6181: "Jastrow, הַדָּרָה"... duplicate
[20.6%] #6181: "Jastrow, הדרונא"... OK (הדרונא)
[20.6%] #6182: "Jastrow, הִדְרוֹקָן"... OK (הדרוקן)
[20.6%] #6183: "Jastrow, הדרוס"... OK (הדרוס)
[20.6%] #6184: "Jastrow, הַדְרְיָינָא"... OK (הדריינא)
[20.6%] #6185: "Jastrow, הַדְרְיָינוֹס"... OK (הדריינוס)
[20.6%] #6186: "Jastrow, הַדְרְיָינִי"... OK (הדרייני)
[20.6%] #6187: "Jastrow, הדרינתא"... OK (הדרינתא)
[20.6%] #6188: "Jastrow, הַדְּרֵיס"... OK (הדריס)
[20.6%] #6189: "Jastrow, הַדְרָנָא"... OK (הדרנא)
[20.6%] #6190: "Jastrow, הֲדַרְנִיאֵל"... OK (הדרניאל)
[20.6%] #6191: "Jastrow, *הִדְרָנִיקוֹס"... OK (הדרניקוס)
[20.6%] #6192: "Jastrow, הַדְרָנִיתָא"... OK (הדרניתא)
[20.6%] #6193: "Jastrow, הַדְּרֵס"... OK (הדרס)
[20.6%] #6194: "Jastrow, הַדְרְסִיּוֹת"... OK (הדרסיות)
[20.6%] #6195: "Jastrow, הִדְרָקוֹן"... OK (הדרקון)
[20.6%] #6196: "Jastrow, הֲדַרְתָּא"... OK (הדרתא)
[20.7%] #6197: "Jastrow, הָדְתַנְיָא"... OK (הדתניא)
[20.7%] #6198: "Jastrow, הָהּ"... OK (הה)
[20.7%] #6199: "Jastrow, הֵה"... duplicate
[20.7%] #6199: "Jastrow, הַהוּא"... OK (ההוא)
[20.7%] #6200: "Jastrow, הַהֵין"... OK (ההין)
[20.7%] #6201: "Jastrow, הָהֵנוּ"... OK (ההנו)
[20.7%] #6202: "Jastrow, הוּ"... OK (הו)
[20.7%] #6203: "Jastrow, הוּא"... OK (הוא)
[20.7%] #6204: "Jastrow, הוּא ²"... duplicate
[20.7%] #6204: "Jastrow, הֲוָא"... duplicate
[20.7%] #6204: "Jastrow, הֲוַאי"... OK (הואי)
[20.7%] #6205: "Jastrow, הוֹאִיל"... OK (הואיל)
[20.7%] #6206: "Jastrow, הוֹבַאי"... OK (הובאי)
[20.7%] #6207: "Jastrow, הוֹבָרָא"... OK (הוברא)
[20.7%] #6208: "Jastrow, הוֹבְדָנָא"... OK (הובדנא)
[20.7%] #6209: "Jastrow, הוֹבִיר"... OK (הוביר)
[20.7%] #6210: "Jastrow, הוֹבְלִילָא"... OK (הובלילא)
[20.7%] #6211: "Jastrow, הוּבעָיוֹת"... OK (הובעיות)
[20.7%] #6212: "Jastrow, הוֹבְרָיָא"... OK (הובריא)
[20.7%] #6213: "Jastrow, הוֹבְרִים"... OK (הוברים)
[20.7%] #6214: "Jastrow, *הוּגְדֵּס"... OK (הוגדס)
[20.7%] #6215: "Jastrow, הוֹגֵין"... OK (הוגין)
[20.7%] #6216: "Jastrow, הוֹגָן"... OK (הוגן)
[20.7%] #6217: "Jastrow, הוֹגֶן"... duplicate
